q_V165,kprod_R2,Secretion,Internalization,Lymphatic_drainage,Permeability
0,1.4e-17,0,-0,-0,-0
0,1.4e-16,0,-0,-0,-0
0,1.4e-15,0,-0,-0,-0
0,1.4e-14,0,-0,-0,-0
